Symbol,Name,Sector,Market Cap,Weight
ABP,Abacus Property Group FP Ordinary/Units Stapled Securities,Real Estate,2323190000,0.0012
ABC,Adelaide Brighton,Materials,2254960000,0.0012
APT,Afterpay Limited,Information Technology,7632250000,0.0039
AGL,AGL Energy Limited,Utilities,13149500000,0.0068
ALQ,Als Limited,Industrials,4428670000,0.0023
ALU,Altium Limited,Information Technology,4547130000,0.0023
AWC,Alumina Limited,Materials,6623640000,0.0034
AMC,Amcor Plc Cdi 1:1 Foreign Exempt NYSE,Materials,16290600000,0.0084
AMP,AMP Limited,Financials,6581090000,0.0034
ANN,Ansell Limited,Health Care,3790080000,0.0019
ANZ,ANZ Banking Group Limited,Financials,69855100000,0.0359
APE,AP Eagers Limited,Consumer Discretionary,2630990000,0.0014
APA,APA Group FP Units Stapled Securities,Utilities,13096800000,0.0067
APX,Appen Limited,Information Technology,2720080000,0.0014
ARB,ARB Corporation,Consumer Discretionary,1498420000,0.0008
ALL,Aristocrat Leisure,Consumer Discretionary,21499800000,0.0111
ASX,ASX Limited,Financials,15179800000,0.0078
ALX,Atlas Arteria Stap US Prohibited Excluding QUP,Industrials,6882760000,0.0035
AZJ,Aurizon Holdings Limited,Industrials,10234700000,0.0053
AST,Ausnet Services Limited,Utilities,6335630000,0.0033
ASB,Austal Limited,Industrials,1361960000,0.0007
AVH,Avita Medical Limited,Health Care,1365770000,0.0007
BOQ,Bank of Queensland,Financials,3204510000,0.0016
BAP,Bapcor Limited,Consumer Discretionary,1821030000,0.0009
BPT,Beach Energy Limited,Energy,5724830000,0.0029
BGA,Bega Cheese Limited,Consumer Staples,925538000,0.0005
BEN,Bendigo and Adelaide,Financials,4819700000,0.0025
BHP,BHP Group Limited,Materials,114653000000,0.059
BIN,Bingo Industries Limited,Industrials,1856750000,0.001
BKL,Blackmores Limited,Consumer Staples,1475120000,0.0008
BSL,Bluescope Steel Limited,Materials,7613320000,0.0039
BLD,Boral Limited,Materials,5252050000,0.0027
BXB,Brambles Limited,Industrials,18147500000,0.0093
BVS,Bravura Solution Limited,Information Technology,1266770000,0.0007
BRG,Breville Group Limited,Consumer Discretionary,2276470000,0.0012
BKW,Brickworks Limited,Materials,2800830000,0.0014
BWP,BWP Trust Ordinary Units FP,Real Estate,2518140000,0.0013
CTX,Caltex Australia,Energy,8477550000,0.0044
CAR,Carsales.com Limited,Information Technology,4073670000,0.0021
CGF,Challenger Limited,Financials,4950770000,0.0025
CHC,Charter Hall Group Stapled Securities US Prohibited,Real Estate,5160810000,0.0027
CQR,Charter Hall Retail Units FP,Real Estate,1889650000,0.001
CNU,Chorus Limited Foreign Exempt NZX,Telecommunication Services,2609010000,0.0013
CLW,CHTR H LWR FP Units Stapled Securities,Real Estate,2646490000,0.0014
CIM,Cimic Group Limited,Industrials,10728300000,0.0055
CWY,Cleanaway Waste Limited,Industrials,4123350000,0.0021
CUV,Clinuvel Pharmaceut,Health Care,1405720000,0.0007
CCL,Coca-Cola Amatil,Consumer Staples,8007440000,0.0041
COH,Cochlear Limited,Health Care,12996100000,0.0067
COL,Coles Group,Consumer Staples,19795500000,0.0102
CKF,Collins Foods Limited,Consumer Discretionary,1038740000,0.0005
CBA,Commonwealth Bank,Financials,141442000000,0.0727
CPU,Computershare Limited,Information Technology,9075960000,0.0047
COE,Cooper Energy Limited,Energy,984122000,0.0005
CTD,Corp Travel Limited,Consumer Discretionary,2232010000,0.0011
CGC,Costa Group Holdings,Consumer Staples,989956000,0.0005
CCP,Credit Corp Group,Financials,1693680000,0.0009
CMW,Cromwell Prop FP Ordinary/Units Stapled Securities,Real Estate,3062720000,0.0016
CWN,Crown Resorts Limited,Consumer Discretionary,8132670000,0.0042
CSL,CSL Limited,Health Care,125160000000,0.0644
CSR,CSR Limited,Materials,2236110000,0.0011
DXS,Dexus FP Units Stapled Securities,Real Estate,12833200000,0.0066
DHG,Domain Holdings Aus,Information Technology,2157390000,0.0011
DMP,Domino PIZZA Enterpr,Consumer Discretionary,4515440000,0.0023
DOW,Downer Edi Limited,Industrials,4858720000,0.0025
ELD,Elders Limited,Consumer Staples,1007200000,0.0005
EML,EML Payments Limited,Information Technology,1477400000,0.0008
EHE,Estia Health Limited,Health Care,637059000,0.0003
EVN,Evolution Mining Limited,Materials,6476430000,0.0033
FPH,Fisher & Paykel H Foreign Exempt NZX,Health Care,12120500000,0.0062
FBU,Fletcher Building Foreign Exempt NZX,Materials,4044720000,0.0021
FLT,Flight Centre Travel,Consumer Discretionary,4455760000,0.0023
FMG,Fortescue Metals Group,Materials,32914100000,0.0169
GUD,G.U.D. Holdings,Consumer Discretionary,962383000,0.0005
GEM,G8 Education Limited,Consumer Discretionary,874336000,0.0004
GOR,Gold Road Res Limited,Materials,1177730000,0.0006
GMG,Goodman Group FP Ordinary/Units Stapled Securities,Real Estate,24445900000,0.0126
GPT,GPT Group FP Ordinary/Units Stapled Securities,Real Estate,10908400000,0.0056
GNC,Graincorp Limited Class A,Consumer Staples,1734730000,0.0009
GOZ,Growthpoint Property FP Ordinary/Units Stapled Securities,Real Estate,3202890000,0.0016
GWA,GWA Group Limited,Industrials,876306000,0.0005
HVN,Harvey Norman,Consumer Discretionary,5071250000,0.0026
HLS,Healius,Health Care,1718770000,0.0009
HUB,HUB24 Limited,Financials,700805000,0.0004
IEL,Idp Education Limited,Consumer Discretionary,4368820000,0.0022
ILU,Iluka Resources,Materials,3930040000,0.002
IPL,Incitec Pivot,Materials,5106390000,0.0026
IGO,Independence Group,Materials,3686570000,0.0019
INA,Ingenia Group FP Ordinary/Units Stapled Securities,Real Estate,1343380000,0.0007
ING,Inghams Group,Consumer Staples,1248840000,0.0006
IAG,Insurance Australia,Financials,17702600000,0.0091
IVC,Invocare Limited,Consumer Discretionary,1545670000,0.0008
IFL,IOOF Holdings Limited,Financials,2759460000,0.0014
IPH,IPH Limited,Industrials,1752680000,0.0009
IRE,Iress Limited,Information Technology,2281000000,0.0012
JHX,James Hardie Indust Chess Depositary Interests 1:1,Materials,12346400000,0.0063
JHG,Janus Henderson Chess Depositary Interests 1:1,Financials,1344600000,0.0007
JBH,JB Hi-Fi Limited,Consumer Discretionary,4327660000,0.0022
JIN,Jumbo Interactive,Consumer Discretionary,930738000,0.0005
LLC,Lendlease Group FP Ordinary/Units Stapled Securities,Real Estate,9934820000,0.0051
