Symbol,Name,Sector,Market Cap,Weight
A2M,The a2 Milk Company,Consumer Staples,10523100000,0.0054
LNK,Link Admin HLDG,Information Technology,3110650000,0.0016
LYC,Lynas Corporation,Materials,1620230000,0.0008
MFG,Magellan Fin Group Limited,Financials,10380900000,0.0053
MGR,Mirvac Group FP Ordinary/Units Stapled Securities,Real Estate,12509900000,0.0064
MIN,Mineral Resources,Materials,3108290000,0.0016
MMS,Mcmillan Shakespeare,Industrials,1013690000,0.0005
MND,Monadelphous Group,Industrials,1574510000,0.0008
MPL,Medibank Private Limited,Financials,8702650000,0.0045
MQG,Macquarie Group Limited,Financials,48851500000,0.0251
MTS,Metcash Limited,Consumer Staples,2336790000,0.0012
MYX,Mayne Pharma Limited,Health Care,730395000,0.0004
NAB,National Aust. Bank,Financials,72593400000,0.0373
NAN,Nanosonics Limited,Health Care,1908020000,0.001
NCM,Newcrest Mining,Materials,23257500000,0.012
NEA,Nearmap Limited,Information Technology,1149240000,0.0006
NEC,Nine Entertainment,Consumer Discretionary,3052650000,0.0016
NHC,New Hope Corporation,Energy,1713320000,0.0009
NHF,Nib Holdings Limited,Financials,2859650000,0.0015
NSR,National Storage FP Ordinary/Units Stapled Securities,Real Estate,1446090000,0.0007
NST,Northern Star,Materials,8300840000,0.0043
NUF,Nufarm Limited,Materials,2198110000,0.0011
NWH,NRW Holdings Limited,Industrials,1366860000,0.0007
NWL,Netwealth Group,Financials,1856400000,0.001
NWS,News Corp Class B Voting Common Stock-Cdi 1:1,Consumer Discretionary,1003690000,0.0005
NXT,NEXTDC Limited,Information Technology,2267020000,0.0012
OML,Ooh!Media Limited,Consumer Discretionary,882285000,0.0005
ORA,Orora Limited,Materials,3837260000,0.002
ORE,Orocobre Limited,Materials,693799000,0.0004
ORG,Origin Energy,Energy,14882200000,0.0077
ORI,Orica Limited,Materials,8373360000,0.0043
OSH,Oil Search Limited 10 Toea,Energy,11054400000,0.0057
OZL,OZ Minerals,Materials,3416880000,0.0018
PDL,Pendal Group Limited,Financials,2772870000,0.0014
PLS,Pilbara Min Limited,Materials,622637000,0.0003
PME,Pro Medicus Limited,Health Care,2323210000,0.0012
PMV,Premier Investments,Consumer Discretionary,2972980000,0.0015
PNI,Pinnacle Investment,Financials,852467000,0.0004
PNV,Polynovo Limited,Health Care,1302340000,0.0007
PPT,Perpetual Limited,Financials,1926960000,0.001
PRN,Perenti Global Limited,Materials,1111940000,0.0006
PTM,Platinum Asset,Financials,2651790000,0.0014
QAN,Qantas Airways,Industrials,10599500000,0.0055
QBE,QBE Insurance Group,Financials,16852500000,0.0087
QUB,QUBE Holdings Limited,Industrials,5349000000,0.0028
REA,REA Group,Information Technology,13645600000,0.007
RHC,Ramsay Health Care,Health Care,14657000000,0.0075
RIO,RIO Tinto Limited,Materials,37270100000,0.0192
RMD,Resmed Inc Cdi 10:1 Foreign Exempt NYSE,Health Care,9190970000,0.0047
RRL,Regis Resources,Materials,2205500000,0.0011
RSG,Resolute Mining,Materials,1137970000,0.0006
RWC,Reliance Worldwide,Industrials,3191980000,0.0016
S32,SOUTH32 Limited,Materials,13305900000,0.0068
SAR,Saracen Mineral,Materials,3650570000,0.0019
SBM,ST Barbara Limited,Materials,1901720000,0.001
SCG,Scentre Group FP Ordinary/Units Stapled Securities,Real Estate,20086700000,0.0103
SCP,Sca Property Group FP Units Stapled Securities,Real Estate,2487900000,0.0013
SDF,Steadfast Group Limited,Financials,3003950000,0.0015
SEK,Seek Limited,Industrials,7939000000,0.0041
SFR,Sandfire Resources,Materials,1064610000,0.0005
SGM,Sims Metal MGMT Limited,Materials,2165600000,0.0011
SGP,Stockland FP Ordinary/Units Stapled Securities,Real Estate,11015700000,0.0057
SGR,The Star Ent Group,Consumer Discretionary,4219680000,0.0022
SHL,Sonic Healthcare,Health Care,13657000000,0.007
SIQ,Smartgrp Corporation,Industrials,913658000,0.0005
SKC,Skycity Ent Group Limited Foreign Exempt NZX,Consumer Discretionary,2428600000,0.0012
SKI,Spark Infrastructure Stapled $0.65 Loan Note and Unit US Prohib,Utilities,3550590000,0.0018
SLR,Silver Lake Resource,Materials,1176810000,0.0006
SOL,Soul Pattinson (W.H),Energy,5147000000,0.0026
SPK,Spark New Zealand Foreign Exempt NZX,Telecommunication Services,7531880000,0.0039
SSM,Service Stream,Industrials,1083900000,0.0006
STO,Santos Limited,Energy,17039500000,0.0088
SUL,Super Ret Rep Limited,Consumer Discretionary,1999150000,0.001
SUN,Suncorp Group Limited,Financials,16341900000,0.0084
SVW,Seven Group Holdings,Industrials,6607290000,0.0034
SXL,STHN Cross Media,Consumer Discretionary,638281000,0.0003
SYD,SYD Airport FP Ordinary/Units Stapled Securities,Industrials,19559500000,0.0101
TAH,Tabcorp Holdings Limited,Consumer Discretionary,9174540000,0.0047
TCL,Transurban Group FP Ordinary/Units Stapled Securities,Industrials,40750100000,0.021
TGR,Tassal Group Limited,Consumer Staples,862679000,0.0004
TLS,Telstra Corporation,Telecommunication Services,42102300000,0.0217
TNE,Technology One,Information Technology,2640570000,0.0014
TPM,TPG Telecom Limited,Telecommunication Services,6225620000,0.0032
TWE,Treasury Wine Estate,Consumer Staples,11691900000,0.006
URW,Unibailrodawestfield Cdi 20:1 Foreign Exempt Xpar,Real Estate,3476780000,0.0018
VCX,Vicinity Centres FP Ordinary/Units Stapled Securities,Real Estate,9364720000,0.0048
VEA,Viva Energy Group,Energy,3733510000,0.0019
VOC,Vocus Group Limited,Telecommunication Services,1774830000,0.0009
VUK,Virgin Money Uk Plc Cdi 1:1 Foreign Exempt Lse,Financials,3137700000,0.0016
VVR,Viva Energy REIT FP Ordinary/Units Stapled Securities,Real Estate,2071310000,0.0011
WBC,Westpac Banking Corp,Financials,87511100000,0.045
WEB,Webjet Limited,Consumer Discretionary,1765530000,0.0009
WES,Wesfarmers Limited,Consumer Discretionary,46941000000,0.0241
WHC,Whitehaven Coal,Energy,2708760000,0.0014
WOR,Worley Limited,Energy,7966660000,0.0041
WOW,Woolworths Group Limited,Consumer Staples,45605600000,0.0235
WPL,Woodside Petroleum,Energy,32395800000,0.0167
WSA,Western Areas Limited,Materials,829253000,0.0004
WTC,Wisetech Global Limited,Information Technology,7436200000,0.0038
XRO,Xero Limited,Information Technology,11322200000,0.0058
